47.47,177.95,63.56,43.42,697,1.589372
144.14,54.99,138.8,33.4,6992,1.374838
94.5,171.23,29.11,26.28,1724,1.353932
93.62,1.85,182.62,35.17,225,1.324151
149.68,129.16,151.62,29.21,6631,1.285557
62.54,90.09,57.19,33.56,2668,1.283318
13.77,161.93,196.43,28.25,3889,1.279301
127.43,136.87,132.17,27.23,417,1.270264
12.74,30.47,100.47,41.66,3551,1.268114
155.33,48.03,191.72,34.75,3676,1.22654
119.72,97.76,47.27,29.62,4263,1.221164
18.3,4.87,183.2,36.25,6029,1.20674
145.8,167.54,185.46,38.59,2583,1.198665
89.39,43.11,3.02,22.28,4033,1.186008
151.47,8.93,125.44,27.69,1781,1.176507
57.16,64.23,153.82,11.18,4729,1.171048
155.08,12.68,173.2,24.88,1814,1.159356
128.81,91.22,2.07,27.21,4423,1.155912
80.42,45.15,151.86,27.44,2167,1.149623
33.74,151.66,137.9,24.89,4932,1.135209
82.7,132.42,45.84,30.83,3904,1.1307
150.67,72.73,20.33,19.36,2053,1.123175
6.38,88.91,39.1,25.83,4905,1.121633
100.96,79.63,164.71,27.92,938,1.117547
55.44,95.82,140.4,27.23,4404,1.106541
190.3,113.08,55.13,36.49,4284,1.104944
139.0,89.98,118.66,19.4,4052,1.091335
164.97,116.13,195.72,34.29,5328,1.086786
133.01,84.9,191.17,21.97,6325,1.071549
195.18,63.58,68.59,37.58,634,1.069715
86.82,165.77,172.08,37.61,6580,1.065967
76.24,1.83,123.89,34.79,3008,1.065719
42.81,45.86,173.66,23.02,705,1.065057
149.87,4.66,77.94,27.53,1168,1.063679
8.17,97.98,139.54,25.7,1474,1.059969
110.5,145.61,63.01,16.93,2168,1.059103
144.67,119.29,102.87,20.62,1054,1.054674
52.39,133.59,79.73,12.5,2214,1.054487
181.43,1.14,187.62,24.79,4783,1.052692
90.02,71.84,75.41,20.72,1329,1.052261
150.46,176.17,8.82,24.85,942,1.047072
20.96,108.21,99.24,25.9,2165,1.042907
61.46,49.42,87.02,29.62,4403,1.041128
169.79,84.2,119.8,26.98,2944,1.039005
0.94,55.18,198.87,28.64,6885,1.038041
14.07,8.84,49.8,14.85,2865,1.030504
140.03,71.02,50.02,22.49,5516,1.027797
173.79,42.03,63.41,30.79,3185,1.01728
197.99,76.53,136.73,22.69,4172,1.00929
118.9,27.01,146.84,19.32,5482,1.007079
33.44,193.39,145.1,20.71,5998,1.002429
