x,y,z
48.52925491,49.95689392,34.40731812
48.76519394,82.77347565,92.55237579
12.09194946,60.16533661,61.69710922
51.06822586,65.18645477,45.98810959
71.20452118,22.99971771,31.07967758
99.4176178,94.53159332,59.44625854
58.20547867,19.93514061,1.10095775
7.22831917,86.17739868,64.80127716
15.26895618,69.51721954,70.44766998
21.93373108,13.22716808,41.18727493
42.3600769,79.80995178,97.15400696
55.0017128,21.56389046,35.49325562
54.31752777,31.52156448,8.31678772
37.64659882,92.04689789,60.81872177
45.39229202,55.76176453,13.96585464
42.87689209,94.32175446,60.00581741
58.15615845,13.37585163,81.85066223
75.6446991,15.40569305,14.39307404
17.5382843,97.71356201,25.44385338
32.34989166,48.41487122,6.21806383
50.39280701,80.6505127,89.35041809
32.43099594,38.82841873,17.82892227
39.2400856,99.30177307,69.97252655
66.08235168,32.29900742,37.08789062
78.10047913,64.22973633,77.97166443
50.11032486,50.30953598,29.96434212
15.89691639,32.94768906,49.53284073
50.97683334,10.17512989,81.9143219
68.75414276,79.43908691,99.38285065
12.78339481,54.67504501,22.94577789
54.67359543,42.93210983,19.56251335
80.07463837,64.53079987,79.05871582
82.74123383,78.7826004,85.39691925
11.31818199,82.322052,17.34060478
10.08247852,44.26638412,27.95187569
83.6726532,99.97523499,32.0829277
11.46805859,58.01753616,55.01409531
18.01921082,58.39319229,8.58528519
49.56185532,67.28051758,36.50389862
63.52177811,61.53692245,82.75151062
87.31832886,68.52252197,22.08668327
5.81392288,57.86362457,91.67375183
12.46658707,63.96018219,64.00031281
19.30713654,23.30576324,75.89253235
27.81871796,71.1236496,22.58250046
28.67131042,29.6955471,31.50339317
84.08415985,21.380476,69.62560272
12.8274641,62.75814056,3.70581532
54.52559662,2.49243903,88.23574066
8.7851696,57.93254471,60.28329468
24.40662575,29.4708004,50.09582901
35.63917923,83.49216461,65.03781128
38.92816544,74.89305878,72.6299057
61.48756027,19.94400215,78.51496124
65.13465118,14.02854061,56.92850494
64.48869324,86.15042877,46.77402115
74.89109802,16.48149109,74.33391571
8.86995983,90.08411407,78.97836304
36.28026199,90.049263,55.38116837
51.15813828,39.33083725,19.21146393
56.55858612,43.04840088,19.9430027
8.88240147,68.90182495,31.09106255
41.57773209,50.12119293,99.83925629
57.42405319,20.22396469,16.15526772
55.95364761,21.17064095,63.21582794
82.31562805,64.73707581,79.66631317
0.42981493,49.07639313,23.23413849
27.26641655,46.26013565,6.54947042
26.33394051,93.52606964,26.81142998
98.73349762,24.15942192,37.76200485
4.60768461,72.13217163,40.84778214
50.25688171,25.88676071,56.9174118
69.75479889,24.01783752,14.16308975
88.12299347,73.23194885,74.94947052
2.61020899,56.80675125,90.60219574
75.86590576,44.92004013,88.90831757
81.63224792,82.2141037,27.7404995
93.71115875,15.74996758,69.23369598
8.37802124,99.91719818,78.57384491
39.86849213,75.50431824,65.93522644
39.95941162,55.173172,80.45001984
40.72359848,92.46133423,44.40604019
50.12691116,0.17004223,66.88354492
